tipe_administratif,garis_kemiskinan,persentase_penduduk_miskin,indeks_keparahan_kemiskinan,indeks_pembangunan_manusia,tingkat_pengangguran_terbuka,jumlah_wilayah
kabupaten,479999.2222,9.0044,0.3172,71.2117,6.1678,18
kota,648196.8889,6.0344,0.2056,79.02,7.2389,9
