indicator,garis_kemiskinan,persentase_penduduk_miskin,indeks_keparahan_kemiskinan,indeks_pembangunan_manusia,tingkat_pengangguran_terbuka
garis_kemiskinan,1.0,-0.6311949458432113,-0.4045590462559716,0.8121867306868941,0.394661181488074
persentase_penduduk_miskin,-0.6311949458432113,1.0,0.718762928840698,-0.7812563569041381,-0.31550976964890165
indeks_keparahan_kemiskinan,-0.4045590462559716,0.718762928840698,1.0,-0.5199779060448414,-0.09067563271577368
indeks_pembangunan_manusia,0.8121867306868941,-0.7812563569041381,-0.5199779060448414,1.0,0.44648913023206666
tingkat_pengangguran_terbuka,0.394661181488074,-0.31550976964890165,-0.09067563271577368,0.44648913023206666,1.0
