id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
74,32,JAWA BARAT,3272,KOTA SUKABUMI,181800,RUPIAH/KAPITA/BULAN,2006
75,32,JAWA BARAT,3273,KOTA BANDUNG,167102,RUPIAH/KAPITA/BULAN,2006
76,32,JAWA BARAT,3274,KOTA CIREBON,164549,RUPIAH/KAPITA/BULAN,2006
77,32,JAWA BARAT,3275,KOTA BEKASI,215245,RUPIAH/KAPITA/BULAN,2006
78,32,JAWA BARAT,3276,KOTA DEPOK,221615,RUPIAH/KAPITA/BULAN,2006
79,32,JAWA BARAT,3277,KOTA CIMAHI,198832,RUPIAH/KAPITA/BULAN,2006
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,146400,RUPIAH/KAPITA/BULAN,2006
81,32,JAWA BARAT,3279,KOTA BANJAR,113763,RUPIAH/KAPITA/BULAN,2006
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,152483,RUPIAH/KAPITA/BULAN,2007
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,145733,RUPIAH/KAPITA/BULAN,2007
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,152748,RUPIAH/KAPITA/BULAN,2007
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,167065,RUPIAH/KAPITA/BULAN,2007
86,32,JAWA BARAT,3205,KABUPATEN GARUT,134031,RUPIAH/KAPITA/BULAN,2007
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,138129,RUPIAH/KAPITA/BULAN,2007
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,165414,RUPIAH/KAPITA/BULAN,2007
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,163317,RUPIAH/KAPITA/BULAN,2007
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,170979,RUPIAH/KAPITA/BULAN,2007
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,210295,RUPIAH/KAPITA/BULAN,2007
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,184226,RUPIAH/KAPITA/BULAN,2007
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,194069,RUPIAH/KAPITA/BULAN,2007
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,197500,RUPIAH/KAPITA/BULAN,2007
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,177322,RUPIAH/KAPITA/BULAN,2007
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,190712,RUPIAH/KAPITA/BULAN,2007
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,185900,RUPIAH/KAPITA/BULAN,2007
