id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_keparahan_kemiskinan,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,0.09,POIN,2006
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.34,POIN,2006
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.37,POIN,2006
81,32,JAWA BARAT,3279,KOTA BANJAR,0.28,POIN,2006
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.71,POIN,2007
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.85,POIN,2007
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.46,POIN,2007
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.52,POIN,2007
86,32,JAWA BARAT,3205,KABUPATEN GARUT,0.56,POIN,2007
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.71,POIN,2007
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.51,POIN,2007
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.87,POIN,2007
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1.64,POIN,2007
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.7,POIN,2007
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.62,POIN,2007
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.66,POIN,2007
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.62,POIN,2007
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.7,POIN,2007
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.59,POIN,2007
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.35,POIN,2007
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1.05,POIN,2007
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2007
100,32,JAWA BARAT,3271,KOTA BOGOR,0.47,POIN,2007
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0.18,POIN,2007
102,32,JAWA BARAT,3273,KOTA BANDUNG,0.18,POIN,2007
103,32,JAWA BARAT,3274,KOTA CIREBON,0.43,POIN,2007
104,32,JAWA BARAT,3275,KOTA BEKASI,0.31,POIN,2007
105,32,JAWA BARAT,3276,KOTA DEPOK,0.09,POIN,2007
106,32,JAWA BARAT,3277,KOTA CIMAHI,0.35,POIN,2007
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.36,POIN,2007
108,32,JAWA BARAT,3279,KOTA BANJAR,0.28,POIN,2007
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1.04,POIN,2008
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.95,POIN,2008
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1.17,POIN,2008
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.71,POIN,2008
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1.22,POIN,2008
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.92,POIN,2008
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.52,POIN,2008
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.75,POIN,2008
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.79,POIN,2008
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1.86,POIN,2008
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.8,POIN,2008
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2.22,POIN,2008
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.82,POIN,2008
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.56,POIN,2008
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.48,POIN,2008
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.3,POIN,2008
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1.31,POIN,2008
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2008
127,32,JAWA BARAT,3271,KOTA BOGOR,0.47,POIN,2008
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0.49,POIN,2008
129,32,JAWA BARAT,3273,KOTA BANDUNG,0.22,POIN,2008
130,32,JAWA BARAT,3274,KOTA CIREBON,0.73,POIN,2008
131,32,JAWA BARAT,3275,KOTA BEKASI,0.43,POIN,2008
132,32,JAWA BARAT,3276,KOTA DEPOK,0.16,POIN,2008
133,32,JAWA BARAT,3277,KOTA CIMAHI,0.47,POIN,2008
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.39,POIN,2008
135,32,JAWA BARAT,3279,KOTA BANJAR,1.34,POIN,2008
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.38,POIN,2009
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.31,POIN,2009
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.32,POIN,2009
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.26,POIN,2009
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0.46,POIN,2009
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.62,POIN,2009
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.52,POIN,2009
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.43,POIN,2009
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.81,POIN,2009
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.48,POIN,2009
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.63,POIN,2009
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.46,POIN,2009
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.79,POIN,2009
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.43,POIN,2009
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.58,POIN,2009
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.2,POIN,2009
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.85,POIN,2009
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2009
154,32,JAWA BARAT,3271,KOTA BOGOR,0.29,POIN,2009
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0.62,POIN,2009
156,32,JAWA BARAT,3273,KOTA BANDUNG,0.11,POIN,2009
157,32,JAWA BARAT,3274,KOTA CIREBON,0.88,POIN,2009
158,32,JAWA BARAT,3275,KOTA BEKASI,0.24,POIN,2009
159,32,JAWA BARAT,3276,KOTA DEPOK,0.05,POIN,2009
160,32,JAWA BARAT,3277,KOTA CIMAHI,0.29,POIN,2009
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.36,POIN,2009
162,32,JAWA BARAT,3279,KOTA BANJAR,0.15,POIN,2009
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.43,POIN,2010
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.3,POIN,2010
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.38,POIN,2010
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.24,POIN,2010
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0.34,POIN,2010
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.36,POIN,2010
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.4,POIN,2010
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.34,POIN,2010
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.58,POIN,2010
